run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,n_drones_tracked,pos_variance_m2,pos_std_m,est_error_2d_m,est_error_3d_m,est_depth_m,est_error_depth_m,dcgd_err_final_mean_m,landing_err_mean_m,pf_std_xy_mean_m,pf_ellipse_area_mean_m2,pf_iou_mean,note
6,100,3,8.3,8.5,4.8,1.82,1e-07,0.05,60,center,center,True,28.1,3,1,0.5847085036136592,0.7646623461461007,0.7598366197288523,1.6656837376555047,3.674,1.855,0.76,0.76,1.778,29.113,0.6461,
30,100,3,23.8,5.2,18.8,2.67,1e-07,0.1,120,0.60,0.58,True,54.400000000000006,3,3,0.010182931982887,0.10091051472907568,0.3216111273349566,0.3926335819499205,2.891,0.217,0.334,0.334,1.812,29.778,0.8528,
25,100,3,16.0,21.7,20.1,2.84,1e-07,0.1,60,0.60,0.58,True,57.800000000000004,3,3,0.01453192248853357,0.12054842383263902,0.469375267354207,0.9150079321294173,3.706,0.862,0.482,0.482,1.745,28.553,0.8163,
13,100,3,0.9,22.6,18.1,3.15,1e-07,0.05,120,0.45,0.55,True,59.7,3,2,0.013473236207328453,0.11607427022096005,0.46733748118159396,0.870236559789844,4.011,0.862,0.474,0.474,1.789,29.552,0.9207,
1,100,3,1.4,23.7,19.0,4.32,1e-07,0.05,25,center,center,True,76.0,3,2,0.007719123552992955,0.08785854285721426,0.44441413182961204,0.4518206684439269,4.694,0.378,0.448,0.448,1.801,29.518,0.8847,
5,100,3,38.3,5.8,33.3,3.4,1e-07,0.05,25,0.60,0.58,True,84.80000000000001,3,3,0.0058475756555332065,0.07646944262601374,0.21450424341591004,0.7209256629391181,4.131,0.729,0.221,0.221,1.326,16.036,0.5535,
37,100,3,6.8,6.7,2.5,1.39,1e-06,0.05,60,0.35,0.40,True,25.900000000000002,3,2,0.017187846327573295,0.13110242685615434,0.34881743052244113,0.5093901948480531,1.91,0.515,0.354,0.354,1.661,25.795,0.8758,
27,100,3,23.7,42.2,41.6,4.86,1e-07,0.1,120,0.35,0.40,True,110.30000000000001,3,3,0.061113786391055656,0.24721202719741542,0.5684918709077657,0.5825016465398469,4.751,0.106,0.571,0.571,1.552,18.776,0.8106,
28,100,3,51.3,31.5,53.3,1.54,1e-07,0.1,120,0.45,0.55,True,117.5,3,3,0.011000841695119468,0.10488489736429868,1.7044908572251962,3.529307128434131,5.305,3.769,1.707,1.707,1.64,25.033,0.602,
16,100,3,90.6,94.5,123.9,2.36,1e-07,0.1,25,center,center,False,131.8,3,3,0.15384961691943566,0.39223668482108565,5.817430248843028,11.718331617253025,15.837,13.474,5.818,5.818,1.988,34.144,0.7241,vittima non trovata entro 15 minuti (ellisse PF non contiene la vittima o troppo larga)
29,100,3,30.3,79.9,79.1,1.08,1e-07,0.1,120,0.60,0.45,True,133.8,3,3,0.02237123578565599,0.14957017010639517,3.4486001936933786,5.407460803949786,6.58,5.502,3.45,3.45,2.155,39.333,0.7203,
10,100,3,80.3,9.7,75.4,2.11,1e-07,0.05,60,0.60,0.58,True,143.3,3,3,0.015573403815014585,0.12479344459952448,1.5151700907328687,2.878695844399113,5.019,2.909,1.516,1.516,1.509,20.078,0.5888,
9,100,3,40.5,36.0,47.1,2.55,1e-07,0.05,60,0.60,0.45,True,129.20000000000002,3,3,0.8278797972961952,0.9098790014590925,0.5749122353586719,1.137247446976761,3.674,1.126,0.707,0.707,1.432,17.366,0.3403,
26,100,3,66.8,23.4,64.5,1.23,1e-07,0.1,120,center,center,True,145.20000000000002,3,3,0.008365377840727526,0.09146243950785221,2.723197466486927,4.151699932160518,6.287,5.053,2.725,2.725,2.051,31.434,0.5862,
20,100,3,6.8,86.9,82.0,1.4,1e-07,0.1,25,0.60,0.58,True,142.1,3,3,0.01990414264709292,0.14108204225589066,2.300240340779993,5.95515180011676,7.627,6.223,2.303,2.303,1.659,22.473,0.6916,
17,100,3,68.5,14.9,64.2,1.39,1e-07,0.1,25,0.35,0.40,True,139.20000000000002,3,3,0.03634278156715085,0.190637828269079,0.301858594032371,0.38137877678655935,1.06,0.327,0.329,0.329,1.885,32.484,0.8394,
8,100,3,68.7,70.6,91.5,1.64,1e-07,0.05,60,0.45,0.55,True,147.70000000000002,3,3,0.11803511256254876,0.34356238525564575,1.3223542107176884,2.017631740969769,3.755,2.118,1.325,1.325,1.604,24.544,0.5269,
4,100,3,91.7,67.4,106.8,2.03,1e-07,0.05,25,0.60,0.45,True,149.70000000000002,3,3,0.8952369468766106,0.9461696184493616,0.4028466566962499,0.5724079135111274,2.471,0.439,0.813,0.813,1.558,23.55,0.4691,
12,100,3,50.1,85.9,92.6,4.69,1e-07,0.05,120,0.35,0.40,True,152.3,3,3,0.00981824434722264,0.09908705438765772,0.32194156206342917,0.3287098274406185,4.785,0.091,0.332,0.332,2.013,35.314,0.8414,
19,100,3,36.1,57.9,61.4,2.63,1e-07,0.1,25,0.60,0.45,True,147.9,3,3,0.12903609412931358,0.35921594359008285,2.2869913006329856,4.842293829257472,7.549,4.914,2.287,2.287,1.826,25.69,0.6248,
24,100,3,72.6,97.4,114.5,3.29,1e-07,0.1,60,0.60,0.45,False,159.4,3,3,0.038119961636156975,0.19524333954364992,3.868501983452569,9.26544954672052,13.547,10.26,3.873,3.873,2.211,41.485,0.8181,vittima non trovata entro 15 minuti (ellisse PF non contiene la vittima o troppo larga)
7,100,3,42.0,77.7,81.5,3.77,1e-07,0.05,60,0.35,0.40,True,151.1,3,3,0.012484885668235794,0.11173578508354337,0.36510297742308384,0.5823690410328064,4.392,0.627,0.381,0.381,1.662,25.884,0.8676,
15,100,3,78.3,58.0,90.5,4.46,1e-07,0.05,120,0.60,0.58,True,157.3,3,3,0.010335173417156278,0.10166205495245646,1.0634043335701828,1.9585793492732506,6.394,1.936,1.067,1.067,1.7,27.048,0.6396,
14,100,3,83.8,77.8,107.3,3.76,1e-07,0.05,120,0.60,0.45,True,155.0,3,3,0.03747530531266243,0.19358539540126066,0.6964373528441794,0.7048051086488809,3.757,0.002,0.699,0.699,2.17,39.762,0.8765,
11,100,3,48.5,86.3,92.2,4.13,1e-07,0.05,120,center,center,True,157.10000000000002,3,3,0.010147907776982023,0.10073682433441121,1.3108592302188204,1.8032085868007377,6.203,2.075,1.313,1.313,1.895,31.999,0.8752,
23,100,3,95.3,25.0,92.5,3.65,1e-07,0.1,60,0.45,0.55,True,169.9,3,3,0.011306870242189033,0.10633376811807731,1.0897985978275622,1.868720553782352,5.601,1.951,1.094,1.094,1.423,15.843,0.7804,
21,100,3,36.5,99.1,99.2,3.53,1e-07,0.1,60,center,center,True,154.0,3,3,0.0004920544153496338,0.022182299595615282,0.6846218721189554,2.2330590265633004,1.658,1.871,0.685,0.685,1.618,22.207,0.6792,
3,100,3,61.2,86.9,99.3,4.47,1e-07,0.05,25,0.45,0.55,True,167.4,3,3,0.007250894389196603,0.08515218370186758,0.15695444522242985,0.21715943729452533,4.372,0.095,0.172,0.172,1.544,22.445,0.4757,
2,100,3,43.8,62.1,69.0,4.03,1e-07,0.05,25,0.35,0.40,True,158.10000000000002,3,3,0.052045099801976795,0.22813395144514723,0.5680402204078633,1.6751390600558458,5.749,1.716,0.581,0.581,1.429,20.22,0.4831,
32,100,3,90.2,96.4,125.0,1.53,1e-06,0.05,25,0.35,0.40,True,164.0,3,3,0.009990656410145795,0.09995327113279383,0.35907467148811456,3.26786267012451,4.663,3.131,0.361,0.361,1.745,28.462,0.9057,
33,100,3,0.3,69.6,64.7,1.72,1e-06,0.05,25,0.45,0.55,True,153.4,3,3,0.017180578970920977,0.13107470759426082,0.5132242759597039,0.9147614570469503,2.594,0.873,0.515,0.515,1.646,25.299,0.898,
31,100,3,22.2,58.5,56.2,1.75,1e-06,0.05,25,center,center,True,178.8,3,3,0.053532629016374254,0.23137119314291107,1.6609983239984951,2.678398562694652,5.0,3.246,1.665,1.665,1.693,25.116,0.5968,
56,100,3,12.8,11.1,9.9,2.71,1e-06,0.1,120,center,center,True,41.5,3,1,0.01994158937475696,0.14121469248897922,1.2713976223431918,1.7359070792073503,4.808,2.102,1.274,1.274,1.815,29.461,0.8962,
62,100,3,3.0,12.8,8.0,3.0,1e-05,0.05,25,0.35,0.40,True,28.6,3,1,0.01001569831104815,0.10007846077477486,0.16560308782347025,0.7768067971717252,3.826,0.822,0.189,0.189,1.622,24.677,0.9085,
50,100,3,24.6,3.7,19.6,1.03,1e-06,0.1,25,0.60,0.58,True,53.0,3,3,0.019505777184180045,0.13966308454341128,0.2215903405263135,0.34774952389934255,1.313,0.279,0.252,0.252,1.724,27.093,0.8508,
35,100,3,74.6,59.2,88.2,2.71,1e-06,0.05,25,0.60,0.58,True,143.5,3,3,0.2953366327832024,0.5434488317985442,0.6259242963188312,0.7124298935184276,3.26,0.547,0.653,0.653,1.758,28.36,0.7092,
34,100,3,76.5,98.9,118.0,1.7,1e-06,0.05,25,0.60,0.45,True,152.0,3,3,0.04919637344855083,0.2218025550992387,0.4635335228547548,4.068995604277926,5.885,4.183,0.474,0.474,1.706,27.204,0.8158,
22,100,3,34.0,67.1,68.6,3.42,1e-07,0.1,60,0.35,0.40,True,198.60000000000002,3,3,0.0290827874561108,0.17053676277011592,0.7845149301664143,7.342837912075968,10.595,7.174,0.787,0.787,1.501,20.725,0.6745,
44,100,3,31.5,19.6,30.2,3.5,1e-06,0.05,120,0.60,0.45,True,87.80000000000001,3,3,0.11339782306757933,0.3367459325182404,1.2985080305635932,1.752500069750433,5.077,1.582,1.315,1.315,1.639,24.323,0.6159,
36,100,3,30.3,44.4,46.8,3.45,1e-06,0.05,60,center,center,True,129.6,3,3,0.037958837180886454,0.19483027788535964,0.9532803813222236,1.1481348191364134,4.707,1.253,0.958,0.958,1.598,22.67,0.5569,
39,100,3,13.5,52.8,48.6,4.79,1e-06,0.05,60,0.60,0.45,True,126.80000000000001,3,3,1.2183557310355846,1.103791525169307,0.6340939632047058,1.4871065475357523,6.324,1.537,0.893,0.893,1.253,12.561,0.4762,
54,100,3,22.9,28.9,29.8,2.43,1e-06,0.1,60,0.60,0.45,True,89.9,3,3,0.3326533931154216,0.5767611230964008,1.068297514585607,2.8079529100649343,5.39,2.96,1.071,1.071,1.158,12.031,0.585,
38,100,3,83.3,73.4,104.0,1.15,1e-06,0.05,60,0.45,0.55,True,154.60000000000002,3,3,0.053670499021759036,0.2316689427216325,1.0390706148486732,2.242982622683221,3.683,2.532,1.041,1.041,1.417,17.41,0.5654,
41,100,3,54.2,22.9,52.4,3.0,1e-06,0.05,120,center,center,True,137.1,3,3,0.0019882573676763,0.04458987965532426,1.9735548907627083,2.752892721230726,6.238,3.24,1.974,1.974,1.679,25.101,0.6411,
40,100,3,92.2,13.7,87.7,3.56,1e-06,0.05,60,0.60,0.58,True,163.8,3,3,0.009356929540903686,0.09673122319553126,1.4498783405304725,1.505017745261672,3.488,0.074,1.451,1.451,1.873,30.776,0.8423,
42,100,3,5.1,67.1,62.1,3.14,1e-06,0.05,120,0.35,0.40,True,142.1,3,3,0.0419216497526533,0.2047477710566181,0.4198046515682314,1.1033366058349565,4.39,1.246,0.461,0.461,1.699,27.026,0.8068,
45,100,3,44.0,60.5,67.8,3.32,1e-06,0.05,120,0.60,0.58,True,142.9,3,3,0.016791169529659374,0.1295807452118538,2.0649923834461448,3.586662075665769,7.15,3.826,2.065,2.065,1.783,27.026,0.592,
