run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
1,100,3,18.8,11.3,15.2,3.11,1e-07,0.05,25,center,center,True,30.6,3,0.0035884705768912443,0.05990384442497196,2.198624129727413,
21,100,3,21.5,16.7,20.2,3.8,1e-07,0.1,25,center,center,True,44.5,3,0.0032649527262028732,0.057139764842033376,2.960193133747145,
25,100,3,13.2,30.1,26.5,4.9,1e-07,0.1,25,0.60,0.58,True,55.300000000000004,3,0.004003113507224299,0.06327016285125477,1.8795144205554266,
29,100,3,22.7,37.2,36.7,1.96,1e-07,0.1,50,0.60,0.45,True,68.7,3,0.002543096729761035,0.05042912580801927,2.4529704928154454,
20,100,3,10.7,39.8,35.2,2.34,1e-07,0.05,120,0.60,0.58,True,69.3,3,0.01271267288749413,0.1127504895221929,0.9059017625007123,
8,100,3,21.2,38.4,37.1,3.85,1e-07,0.05,50,0.45,0.55,True,82.5,3,0.008467630862104485,0.09201973083042835,3.259090198769813,
22,100,3,10.7,47.7,43.1,3.41,1e-07,0.1,25,0.35,0.40,True,83.9,3,0.0035095387938858954,0.05924136049995725,0.3440520944250748,
6,100,3,54.8,65.2,78.2,4.57,1e-07,0.05,50,center,center,True,102.10000000000001,3,0.0038551712518577527,0.06209002538135858,0.771827335411522,
3,100,3,69.2,38.5,72.4,4.53,1e-07,0.05,25,0.45,0.55,True,107.2,3,0.005105518728685469,0.07145291266761257,1.198174135820182,
16,100,3,77.4,60.4,91.1,2.18,1e-07,0.05,120,center,center,True,111.5,3,0.0017377231656502791,0.04168600683263245,3.153525625387594,
4,100,3,31.4,70.8,70.9,2.13,1e-07,0.05,25,0.60,0.45,True,105.9,3,0.0036123330667789857,0.06010268768348871,0.5486872634158007,
9,100,3,50.5,55.9,68.3,3.32,1e-07,0.05,50,0.60,0.45,True,103.5,3,0.003306159331698042,0.05749921157457763,0.8520428200316176,
15,100,3,59.2,71.7,86.0,4.88,1e-07,0.05,80,0.60,0.58,True,109.5,3,0.025383915455296918,0.15932330480911108,0.6285980669534805,
30,100,3,58.6,44.8,66.7,2.22,1e-07,0.1,50,0.60,0.58,True,110.4,3,0.002964072852850502,0.05444329943023753,0.26650110660787185,
26,100,3,24.7,69.2,67.2,3.4,1e-07,0.1,50,center,center,True,107.9,3,0.002925487611938237,0.05408777691806382,2.855766895514543,
7,100,3,41.5,73.3,77.5,1.67,1e-07,0.05,50,0.35,0.40,True,109.10000000000001,3,0.005356536639401015,0.07318836409840716,1.3893123655945614,
19,100,3,42.5,43.4,53.7,3.75,1e-07,0.05,120,0.60,0.45,True,104.5,3,0.002999276323175881,0.05476564911672171,3.093759854588347,
47,100,3,10.0,9.0,6.5,4.82,1e-06,0.05,50,0.35,0.40,True,0.30000000000000004,3,0.0002472395201371635,0.015723851949734313,2.0726103708229378,
18,100,3,64.8,74.7,91.8,4.78,1e-07,0.05,120,0.45,0.55,True,111.7,3,0.020243697250606422,0.1422803473801158,0.4917921248441969,
31,100,3,45.8,42.7,55.6,4.75,1e-07,0.1,80,center,center,True,106.80000000000001,3,0.0025730513130283877,0.050725253208124925,0.8529932672684838,
10,100,3,76.7,79.9,103.7,3.63,1e-07,0.05,50,0.60,0.58,True,114.7,3,0.0014053853993082482,0.03748847021829843,1.6811366550160969,
5,100,3,53.5,78.9,88.4,1.08,1e-07,0.05,25,0.60,0.58,True,113.5,3,0.007879002994355549,0.08876374819911308,1.4887000999480173,
24,100,3,44.5,77.0,82.1,1.3,1e-07,0.1,25,0.60,0.45,True,115.0,3,0.0010675223611280927,0.03267296070343324,0.5711647197456575,
13,100,3,63.8,63.2,82.7,3.04,1e-07,0.05,80,0.45,0.55,True,117.0,3,0.012382096467179322,0.11127486898297981,1.1141720050537676,
2,100,3,25.5,74.7,72.7,4.97,1e-07,0.05,25,0.35,0.40,True,119.9,3,0.002499183362591832,0.04999183295891272,1.175954380753259,
11,100,3,63.3,56.8,78.0,2.49,1e-07,0.05,80,center,center,True,127.0,3,0.0035971052039254305,0.05997587184798092,0.3773577395868792,
33,100,3,47.9,23.2,46.6,4.65,1e-07,0.1,80,0.45,0.55,True,91.2,3,0.0016538458028112345,0.040667503031428354,0.7032716557470726,
27,100,3,54.1,17.8,50.7,3.04,1e-07,0.1,50,0.35,0.40,True,121.0,3,0.005731106918765834,0.07570407465101092,4.975451064374025,
28,100,3,40.3,64.3,69.0,1.86,1e-07,0.1,50,0.45,0.55,True,124.60000000000001,3,0.0030920181733494795,0.0556059185100784,1.1671760110348484,
17,100,3,79.6,38.0,81.6,2.96,1e-07,0.05,120,0.35,0.40,True,136.9,3,0.002667054199847296,0.051643530087004084,0.7966122947211615,
32,100,3,65.6,56.7,79.7,2.5,1e-07,0.1,80,0.35,0.40,True,133.8,3,0.012497589053834246,0.11179261627600566,1.5527934203396843,
14,100,3,77.7,68.8,96.7,4.36,1e-07,0.05,80,0.60,0.45,True,136.6,3,0.00327442538275819,0.057222595036909935,2.048758103908244,
12,100,3,76.3,64.1,92.6,3.65,1e-07,0.05,80,0.35,0.40,True,138.0,3,0.0032184537588575038,0.05673141774059153,0.2258121263185947,
65,100,3,11.2,9.7,7.8,2.22,1e-06,0.1,25,0.60,0.58,True,0.30000000000000004,3,0.00019864136580616726,0.01409401879543827,1.1628421450466242,
34,100,3,51.6,38.7,57.5,3.06,1e-07,0.1,80,0.60,0.45,True,103.9,3,0.0398883119048227,0.19972058457961386,0.5473809683067181,
35,100,3,69.5,54.1,81.0,4.25,1e-07,0.1,80,0.60,0.58,True,120.7,3,0.003942275790827387,0.06278754487020007,2.6221566282283084,
41,100,3,9.3,33.1,28.4,4.85,1e-06,0.05,25,center,center,True,69.10000000000001,3,0.027105156413704208,0.1646364370778966,5.362295195583974,
56,100,3,36.8,9.2,32.0,4.44,1e-06,0.05,120,center,center,True,62.0,3,0.00325266470372587,0.0570321374641164,0.7802979368170364,
49,100,3,24.6,35.4,36.2,2.76,1e-06,0.05,50,0.60,0.45,True,72.0,3,0.00373569156829391,0.061120304059239676,2.267560709741955,
39,100,3,55.5,76.8,87.8,1.12,1e-07,0.1,120,0.60,0.45,True,99.4,3,0.0034984080485503588,0.05914734185532228,0.27931765802370273,
36,100,3,53.1,61.7,74.4,4.45,1e-07,0.1,120,center,center,True,116.0,3,0.002578994179679439,0.05078379839751492,0.4003784041188893,
54,100,3,47.3,17.7,44.2,3.44,1e-06,0.05,80,0.60,0.45,True,74.5,3,0.0037272856545639546,0.06105150001895084,3.5436551555618356,
66,100,3,17.1,26.9,25.0,2.11,1e-06,0.1,50,center,center,True,52.7,3,0.004346178696013455,0.06592555419572485,4.443312663122537,
37,100,3,14.0,80.1,75.6,4.83,1e-07,0.1,120,0.35,0.40,True,118.4,3,0.002229993566398726,0.047222807692879995,0.7637249076147954,
42,100,3,18.0,47.6,44.6,4.53,1e-06,0.05,25,0.35,0.40,True,89.2,3,0.001683261948147659,0.041027575460264025,0.39509382661374,
40,100,3,48.6,21.0,46.4,2.5,1e-07,0.1,120,0.60,0.58,True,92.80000000000001,3,0.005524250282411521,0.07432530041924837,2.341148621071914,
38,100,3,69.6,75.6,95.6,4.3,1e-07,0.1,120,0.45,0.55,True,124.60000000000001,3,0.012089927128482727,0.10995420468760041,0.5645051522981283,
44,100,3,70.1,51.0,79.7,2.35,1e-06,0.05,25,0.60,0.45,True,100.7,3,0.0021671988290401325,0.046553182802469395,0.25475258980757004,
45,100,3,39.6,34.2,45.3,3.66,1e-06,0.05,25,0.60,0.58,True,96.5,3,0.034439782826331186,0.18557958623278367,0.8851872678642444,
50,100,3,16.9,49.7,46.3,4.4,1e-06,0.05,50,0.60,0.58,True,99.0,3,0.014163125682266815,0.11900893110295048,1.8402522041221248,
53,100,3,38.3,49.8,55.8,2.42,1e-06,0.05,80,0.45,0.55,True,102.4,3,0.0077175211704754295,0.08784942327912819,3.0343190701129794,
55,100,3,10.3,53.3,48.6,2.13,1e-06,0.05,80,0.60,0.58,True,102.60000000000001,3,0.007296973104141407,0.08542232204840493,1.2414196487307327,
46,100,3,80.0,42.3,83.8,4.33,1e-06,0.05,50,center,center,True,117.9,3,0.026461971119000786,0.16267135924618317,1.9337446005844887,
62,100,3,37.9,32.6,42.9,4.97,1e-06,0.1,25,0.35,0.40,True,89.2,3,0.001961196550696922,0.044285398843150574,0.40939939299939543,
51,100,3,41.6,49.6,57.7,1.34,1e-06,0.05,80,center,center,True,105.80000000000001,3,0.0038775077682582106,0.06226963761142513,1.2197469682141306,
48,100,3,63.9,33.9,65.6,2.24,1e-06,0.05,50,0.45,0.55,True,114.80000000000001,3,0.003458865237127659,0.05881211811461698,0.9266410562159333,
68,100,3,22.8,21.8,24.5,2.96,1e-06,0.1,50,0.45,0.55,True,49.5,3,0.0031490623136927916,0.05611650660628111,0.99425961808219,
43,100,3,68.2,63.0,85.8,2.55,1e-06,0.05,25,0.45,0.55,True,124.2,3,0.002797656895323029,0.052892881329372,0.1327380921701151,
57,100,3,33.0,60.8,62.4,3.04,1e-06,0.05,120,0.35,0.40,True,105.60000000000001,3,0.0038232784509869876,0.061832664919013375,1.8020153756438406,
75,100,3,10.9,26.6,22.4,4.88,1e-06,0.1,80,0.60,0.58,True,42.800000000000004,3,0.008668175891582836,0.09310303911034717,2.388266701181391,
52,100,3,73.3,72.9,96.3,2.1,1e-06,0.05,80,0.35,0.40,True,128.3,3,0.005728607568324464,0.07568756548023238,1.0223603346589822,
64,100,3,54.6,49.7,66.8,1.03,1e-06,0.1,25,0.60,0.45,True,104.0,3,0.006892417440323609,0.08302058443737678,1.1644030925844484,
59,100,3,59.4,54.6,73.6,1.32,1e-06,0.05,120,0.60,0.45,True,121.60000000000001,3,0.004135508998869308,0.06430792329775008,1.54940585784184,
58,100,3,50.2,80.0,87.6,2.39,1e-06,0.05,120,0.45,0.55,True,117.7,3,0.008143355580315424,0.09024054288575299,0.729897784723242,
60,100,3,16.6,62.4,58.6,4.9,1e-06,0.05,120,0.60,0.58,True,116.5,3,0.00149113061820252,0.038615160471018636,1.6679782995176602,
74,100,3,25.3,23.1,27.2,3.64,1e-06,0.1,80,0.60,0.45,True,53.7,3,0.0023791421343683727,0.0487764506126509,2.7182603275397974,
67,100,3,24.1,55.4,53.9,3.83,1e-06,0.1,50,0.35,0.40,True,102.9,3,0.002361221956261101,0.048592406364174855,1.2367004729644944,
61,100,3,40.4,58.6,64.2,3.56,1e-06,0.1,25,center,center,True,146.5,3,0.02048353650442619,0.14312070606458796,3.487451447961356,
81,100,3,48.2,27.7,48.8,3.83,1e-05,0.05,25,center,center,True,71.5,3,0.004745864096063784,0.06889023222535823,0.24162915787921518,
69,100,3,44.7,66.6,73.3,2.09,1e-06,0.1,50,0.60,0.45,True,100.60000000000001,3,0.0058503357908475315,0.07648748780583352,0.26402489641576776,
82,100,3,31.5,43.0,46.3,2.52,1e-05,0.05,25,0.35,0.40,True,71.4,3,0.002650562213348082,0.05148361111410195,0.809410721987753,
95,100,3,16.0,30.9,28.1,1.8,1e-05,0.05,80,0.60,0.58,True,47.7,3,0.00296645877480852,0.054465207011527274,2.20676747066313,
70,100,3,37.3,46.6,52.6,3.49,1e-06,0.1,50,0.60,0.58,True,102.5,3,0.024140784170254306,0.1553730484036865,1.0050795135217498,
90,100,3,29.1,30.9,35.4,3.5,1e-05,0.05,50,0.60,0.58,True,61.0,3,0.013268922432032773,0.11519080880015026,1.1507098906232083,
87,100,3,30.0,13.2,26.3,1.59,1e-05,0.05,50,0.35,0.40,True,69.4,3,0.0337868856603011,0.18381209334616996,1.9214731949620187,
73,100,3,79.9,63.7,95.2,3.81,1e-06,0.1,80,0.45,0.55,True,112.5,3,0.005603552138008137,0.07485687769342332,2.2622555773075685,
76,100,3,80.5,41.6,83.9,3.57,1e-06,0.1,120,center,center,True,109.2,3,0.012830959849426749,0.11327382685080764,3.709160189540065,
71,100,3,36.6,57.5,61.3,3.16,1e-06,0.1,80,center,center,True,109.80000000000001,3,0.003516309623920771,0.05929847910293122,4.414918547429863,
92,100,3,12.8,47.0,42.7,2.7,1e-05,0.05,80,0.35,0.40,True,63.6,3,0.0015547791345205137,0.03943068772568536,1.7103165446460253,
83,100,3,70.6,52.6,81.0,1.5,1e-05,0.05,25,0.45,0.55,True,91.9,3,0.004167391205270878,0.0645553344447295,1.126351521963673,
72,100,3,80.8,52.4,89.4,2.72,1e-06,0.1,80,0.35,0.40,True,121.0,3,0.010165738167411868,0.1008252853574532,5.724030346799155,
78,100,3,27.5,48.8,49.3,4.82,1e-06,0.1,120,0.45,0.55,True,99.7,3,0.016742091268128947,0.12939123335113917,1.781154571049677,
97,100,3,17.9,45.2,42.3,2.49,1e-05,0.05,120,0.35,0.40,True,64.5,3,0.0030954827324535064,0.05563706257930505,0.1303441882469785,
88,100,3,66.3,70.4,89.7,2.09,1e-05,0.05,50,0.45,0.55,True,89.60000000000001,3,0.01125224809721184,0.10607661428048994,0.26370544827417813,
96,100,3,45.6,12.5,41.2,2.07,1e-05,0.05,120,center,center,True,69.4,3,0.016477327393634014,0.12836404244816385,2.5602447260360806,
86,100,3,20.2,68.8,65.5,2.8,1e-05,0.05,50,center,center,False,92.5,3,0.015834725220895886,0.12583610459997516,10.259813718861176,vittima non trovata entro 15 minuti
115,100,3,13.0,10.9,9.9,1.04,1e-05,0.1,80,0.60,0.58,True,5.1000000000000005,3,0.0014204393134819838,0.037688715996727504,0.8098333432201751,
