run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
2,100,3,12.9,14.8,12.6,1.12,1e-07,25,0.35,0.40,True,15.600000000000001,3,0.004058504216001847,0.0637063906998493,0.11284330211022747,
23,100,3,11.2,24.8,20.7,2.18,1e-06,25,0.45,0.55,True,43.900000000000006,3,0.004094480558124635,0.0639881282592688,0.7633962976949142,
14,100,3,28.7,19.8,28.0,2.64,1e-07,80,0.60,0.45,True,55.800000000000004,3,0.004383673100788592,0.06620931279501843,0.8942410572609238,
6,100,3,15.6,47.7,43.9,4.27,1e-07,50,center,center,True,82.0,3,0.003143613609764348,0.05606793744881604,4.572694146530163,
7,100,3,16.6,50.5,47.0,2.56,1e-07,50,0.35,0.40,True,84.60000000000001,3,0.003919608754708381,0.06260677882392912,0.14766292354457528,
24,100,3,42.6,20.5,40.7,2.38,1e-06,25,0.60,0.45,True,83.0,3,0.0019175059300082788,0.04378933580231925,1.5677738931645826,
22,100,3,24.8,52.8,51.7,4.58,1e-06,25,0.35,0.40,True,91.30000000000001,3,0.002860301091655235,0.05348178280176564,0.03193897396220049,
30,100,3,30.2,43.1,45.7,3.05,1e-06,50,0.60,0.58,True,89.0,3,0.0027375595219135767,0.05232169265145745,0.4094679849162769,
19,100,3,73.1,48.3,80.7,3.03,1e-07,120,0.60,0.45,True,99.60000000000001,3,0.006877058985056334,0.08292803497645615,8.861488528026452,
9,100,3,76.7,44.9,82.1,1.78,1e-07,50,0.60,0.45,True,102.80000000000001,3,0.00034063261217978213,0.018456235048887465,0.4389162079664043,
3,100,3,47.2,26.5,47.4,2.59,1e-07,25,0.45,0.55,True,93.30000000000001,3,0.004571070356634901,0.0676096912922615,0.3485946503698582,
4,100,3,50.3,17.4,46.9,4.04,1e-07,25,0.60,0.45,True,96.7,3,0.0038110862732367353,0.06173399608997246,1.8902220374738266,
12,100,3,74.5,49.1,82.3,2.24,1e-07,80,0.35,0.40,True,107.10000000000001,3,0.0005763369302668024,0.024007018354364675,3.1114947575564003,
1,100,3,46.7,37.3,52.8,1.06,1e-07,25,center,center,True,99.9,3,0.006584243676796152,0.08114335263468075,0.16550755960290037,
27,100,3,42.2,55.3,62.6,2.31,1e-06,50,0.35,0.40,True,107.2,3,0.003092773120359056,0.05561270646497126,0.20338786369729042,
17,100,3,56.8,44.8,65.3,2.96,1e-07,120,0.35,0.40,True,106.7,3,0.007322026864683309,0.08556884283828611,1.381054392849485,
20,100,3,60.4,62.9,80.2,4.07,1e-07,120,0.60,0.58,True,111.5,3,0.0026721710733405776,0.051693046663362545,0.2588886988117816,
32,100,3,47.7,62.7,71.8,2.7,1e-06,80,0.35,0.40,True,112.30000000000001,3,0.0046658201252176585,0.06830680877641451,0.1554578748747806,
28,100,3,56.1,36.3,59.9,3.35,1e-06,50,0.45,0.55,True,106.5,3,0.004364082332288496,0.06606120141420754,0.05588089827514165,
18,100,3,78.9,76.2,102.7,2.23,1e-07,120,0.45,0.55,True,115.2,3,0.0021452626155740086,0.04631697977603903,0.8054268497510165,
15,100,3,19.7,56.2,53.2,4.24,1e-07,80,0.60,0.58,True,112.60000000000001,3,0.0007583022991973346,0.027537289249258624,0.4464349711086078,
5,100,3,78.8,36.8,80.4,4.73,1e-07,25,0.60,0.58,True,118.80000000000001,3,0.012677652737298716,0.11259508309557179,2.271327225538789,
10,100,3,23.3,56.9,55.0,1.8,1e-07,50,0.60,0.58,True,112.30000000000001,3,0.0013631453879548228,0.03692079885315082,0.24069401386254996,
21,100,3,44.5,52.7,61.9,1.08,1e-06,25,center,center,True,116.60000000000001,3,0.001006454994189911,0.03172467484766252,1.2482731156982696,
29,100,3,65.6,79.7,96.2,1.96,1e-06,50,0.60,0.45,True,117.7,3,0.0026546323841382196,0.05152312475130191,0.1199709746703389,
26,100,3,70.2,55.5,82.5,2.24,1e-06,50,center,center,True,122.0,3,0.0039867043267248995,0.06314035418593167,0.11746397860892686,
13,100,3,29.1,71.9,71.1,1.45,1e-07,80,0.45,0.55,True,111.9,3,0.005975997576697746,0.07730457668662151,0.5396871965925107,
31,100,3,60.4,20.1,57.4,3.35,1e-06,80,center,center,True,114.60000000000001,3,0.0010542514716560033,0.032469238852427744,3.606200322306445,
16,100,3,63.5,29.5,63.5,4.71,1e-07,120,center,center,True,112.30000000000001,3,0.013340393569179763,0.11550062150992853,3.712995660089749,
11,100,3,70.3,55.1,82.4,4.92,1e-07,80,center,center,True,126.4,3,0.001475888317247311,0.038417291904132324,0.537874921435234,
8,100,3,14.8,70.2,66.0,3.92,1e-07,50,0.45,0.55,True,117.9,3,0.0008316869814172969,0.028838983709855256,1.0217930694892299,
33,100,3,55.7,41.0,62.2,2.73,1e-06,80,0.45,0.55,True,105.80000000000001,3,0.0015801854816261836,0.039751546908594435,0.6105199012840212,
25,100,3,73.1,20.1,69.8,3.67,1e-06,25,0.60,0.58,True,128.0,3,0.0034196418122647105,0.058477703548144834,0.09820284310221886,
37,100,3,24.4,28.6,30.5,3.24,1e-06,120,0.35,0.40,True,62.5,3,0.0042990398905803605,0.06556706406863404,0.277377153828289,
34,100,3,77.0,17.2,73.0,3.38,1e-06,80,0.60,0.45,True,114.5,3,0.005719658993486895,0.07562842715201008,4.324727136011984,
65,100,3,15.0,20.1,18.2,2.73,1e-07,25,0.60,0.58,True,27.400000000000002,3,0.003784547123715564,0.06151867296777105,0.6806478415366395,
38,100,3,38.3,12.4,34.1,3.19,1e-06,120,0.45,0.55,True,68.5,3,0.003964517585649702,0.06296441523312753,0.12287860189890719,
64,100,3,10.1,30.2,25.7,3.36,1e-07,25,0.60,0.45,True,41.800000000000004,3,0.004149901774585407,0.0644197312520427,1.2719557073012182,
40,100,3,37.6,20.7,36.2,4.24,1e-06,120,0.60,0.58,True,69.5,3,0.0032099159283456337,0.05665611995491426,1.2761125752553049,
35,100,3,49.9,63.9,74.1,3.52,1e-06,80,0.60,0.58,True,112.80000000000001,3,0.0045637504989518764,0.06755553640488599,0.08227859836557987,
50,100,3,39.5,20.3,37.7,4.51,1e-05,50,0.60,0.58,True,65.9,3,0.0007709835605382742,0.02776659072587548,2.6095272573170467,
47,100,3,67.7,39.3,71.5,2.53,1e-05,50,0.35,0.40,False,86.2,3,0.005619622246336747,0.07496413973585468,15.09480780688902,vittima non trovata entro 15 minuti
43,100,3,70.5,17.4,66.7,4.72,1e-05,25,0.45,0.55,True,93.60000000000001,3,0.02482206627758655,0.15755020240414339,5.7169823679924345,
52,100,3,33.2,45.2,49.1,1.36,1e-05,80,0.35,0.40,True,70.60000000000001,3,0.003682641448352498,0.06068477114031574,0.20982012193604554,
58,100,3,20.3,47.3,45.0,2.02,1e-05,120,0.45,0.55,True,65.10000000000001,3,0.0069054852895592865,0.08309924963294968,0.8801269128965242,
39,100,3,44.3,76.7,81.8,1.87,1e-06,120,0.60,0.45,True,97.0,3,0.003802256154468409,0.06166243714343773,0.24104292141789052,
36,100,3,47.6,36.0,52.7,2.16,1e-06,120,center,center,True,101.9,3,0.0024496674450133135,0.049494115256395015,0.5074836518476834,
57,100,3,38.0,13.3,34.1,1.73,1e-05,120,0.35,0.40,True,70.10000000000001,3,0.0011230852729697549,0.03351246444190213,7.812241781995246,
44,100,3,11.0,78.5,73.7,2.26,1e-05,25,0.60,0.45,True,91.10000000000001,3,0.028035409299240123,0.16743777739578403,1.1351833081954448,
55,100,3,48.0,43.6,57.7,2.55,1e-05,80,0.60,0.58,True,80.10000000000001,3,0.003941997173875736,0.06278532610312489,0.22070678168947674,
49,100,3,53.4,46.4,63.7,1.69,1e-05,50,0.60,0.45,True,88.4,3,0.004468601149791019,0.06684759643989467,0.17027816844579546,
56,100,3,64.0,43.1,70.2,2.37,1e-05,120,center,center,True,83.80000000000001,3,0.019974039458637436,0.14132954205910891,3.5707062383869674,
48,100,3,53.4,45.3,63.0,4.29,1e-05,50,0.45,0.55,True,87.5,3,0.007198245317152404,0.08484247354451899,0.0787873202576,
46,100,3,46.3,70.3,77.3,4.52,1e-05,50,center,center,True,96.9,3,0.0073596752983567295,0.08578854992571404,0.47575575697015177,
42,100,3,73.0,71.0,94.8,4.29,1e-05,25,0.35,0.40,True,101.7,3,0.003479389481939707,0.05898634996284909,6.889533908241492,
60,100,3,35.6,49.5,54.0,2.0,1e-05,120,0.60,0.58,True,73.2,3,0.004086513035409902,0.0639258401228322,0.21904935135470666,
45,100,3,69.1,76.4,96.0,1.66,1e-05,25,0.60,0.58,True,104.4,3,0.003679348448478851,0.06065763306030702,0.2654180101865219,
41,100,3,72.6,48.2,80.2,1.51,1e-05,25,center,center,True,111.10000000000001,3,0.0034201413971199964,0.05848197497622662,0.19981807935206947,
53,100,3,49.6,71.4,80.0,2.38,1e-05,80,0.45,0.55,True,93.2,3,0.0032776037778201278,0.05725036050384423,0.40975813253144017,
54,100,3,48.5,75.2,82.6,2.43,1e-05,80,0.60,0.45,True,91.0,3,0.003995141035889544,0.06320712804652291,0.2615194468089021,
51,100,3,15.1,73.8,69.5,4.67,1e-05,80,center,center,True,100.30000000000001,3,0.007808872711862922,0.08836782622574192,3.5506667904704567,
59,100,3,19.5,75.2,71.7,4.85,1e-05,120,0.60,0.45,True,90.9,3,0.007346908412616628,0.08571410859722352,0.38717342242311403,
67,100,3,11.0,38.3,33.8,3.92,1e-07,50,0.35,0.40,True,67.8,3,0.004663824307538483,0.06829219799902829,0.3266258548929174,
61,100,3,36.6,44.6,50.6,4.85,1e-07,25,center,center,True,97.10000000000001,3,0.003556308900249942,0.059634796052723635,4.087307228108752,
63,100,3,43.6,42.7,53.9,2.81,1e-07,25,0.45,0.55,True,101.80000000000001,3,0.006737180829197607,0.08208033156120659,0.4195251480961555,
83,100,3,10.3,22.2,18.0,2.31,1e-06,25,0.45,0.55,True,32.7,3,0.0032183179564324016,0.05673022083891796,0.9250397628189947,
69,100,3,43.7,16.6,40.4,1.37,1e-07,50,0.60,0.45,True,78.4,3,0.00801976657789258,0.08955314945825513,2.036354294102739,
66,100,3,37.6,37.2,45.8,4.61,1e-07,50,center,center,True,94.80000000000001,3,0.002683027448598481,0.0517979483049134,0.3746155675650943,
88,100,3,28.5,9.3,23.9,1.83,1e-06,50,0.45,0.55,True,54.6,3,0.007274711069932915,0.08529191679129339,0.09456333081232352,
87,100,3,30.9,16.6,28.4,4.06,1e-06,50,0.35,0.40,True,57.800000000000004,3,0.007708132876961942,0.08779597301107803,2.420359861986813,
62,100,3,10.6,60.1,55.4,3.55,1e-07,25,0.35,0.40,True,130.4,3,0.0015526710603841955,0.039403947269076936,0.2672961730575387,
76,100,3,35.4,14.7,31.9,2.29,1e-07,120,center,center,True,67.8,3,0.0033455477704966777,0.05784071032150866,0.08667362498424412,
71,100,3,35.9,42.5,48.6,4.78,1e-07,80,center,center,True,96.2,3,0.007321589440415309,0.08556628682147724,4.479278418678602,
94,100,3,16.4,32.5,29.8,2.05,1e-06,80,0.60,0.45,True,53.300000000000004,3,0.0054019603080037604,0.07349802927972804,1.6586635696441405,
72,100,3,41.1,41.3,51.2,4.2,1e-07,80,0.35,0.40,True,94.4,3,0.003647201169535206,0.06039206214011247,0.1663591876113326,
77,100,3,38.5,27.2,40.2,2.43,1e-07,120,0.35,0.40,True,81.80000000000001,3,0.00368093222478741,0.060670686701136074,0.6624435791908726,
70,100,3,56.2,30.1,57.0,3.66,1e-07,50,0.60,0.58,True,104.80000000000001,3,0.008462326317792385,0.09199090345133254,0.2733046264944566,
68,100,3,46.8,80.8,86.6,3.5,1e-07,50,0.45,0.55,True,115.80000000000001,3,0.01740606985528797,0.1319320653036553,1.8327490717913548,
85,100,3,47.3,11.5,42.8,2.34,1e-06,25,0.60,0.58,True,84.2,3,0.0027384925735660965,0.05233060838138705,2.729764487463376,
84,100,3,49.5,20.0,47.0,3.28,1e-06,25,0.60,0.45,True,89.4,3,0.001785571894553667,0.042256027907905246,1.3910393265758276,
78,100,3,68.1,26.8,66.8,1.55,1e-07,120,0.45,0.55,True,101.80000000000001,3,0.0030346359454698595,0.05508752985449483,1.6079047431503688,
73,100,3,53.1,55.2,69.5,3.14,1e-07,80,0.45,0.55,True,112.5,3,0.002581175997036644,0.050805275287480176,0.523498284443569,
92,100,3,56.0,13.2,51.7,1.94,1e-06,80,0.35,0.40,True,88.5,3,0.018348560279124307,0.13545685763048065,8.591783992576588,
79,100,3,45.7,79.0,84.4,2.29,1e-07,120,0.60,0.45,True,105.2,3,0.003916079404904038,0.06257858583336666,0.07124817833137069,
74,100,3,54.1,40.8,60.7,3.38,1e-07,80,0.60,0.45,True,109.7,3,0.004127210175873942,0.0642433667850148,0.16095504818657516,
80,100,3,55.3,76.4,87.3,1.83,1e-07,120,0.60,0.58,True,104.0,3,0.0038328431047763545,0.061909959657363324,0.5126929901619188,
98,100,3,36.2,20.4,34.8,1.09,1e-06,120,0.45,0.55,True,65.2,3,0.003314449900259902,0.05757125932494357,0.09706256670126084,
75,100,3,57.7,36.4,61.3,2.44,1e-07,80,0.60,0.58,True,107.30000000000001,3,0.0036326052808767443,0.060271098221923454,0.1617774859233615,
86,100,3,34.2,52.9,56.1,2.67,1e-06,50,center,center,True,103.2,3,0.005975390654873567,0.07730065106371076,3.863433248200723,
89,100,3,72.3,43.8,77.7,1.87,1e-06,50,0.60,0.45,True,105.9,3,0.006284106364887032,0.07927235561585787,0.07767644844456505,
90,100,3,73.7,23.7,71.1,2.51,1e-06,50,0.60,0.58,True,106.30000000000001,3,0.004356282651671476,0.06600214126580649,0.21162359345779944,
82,100,3,57.4,33.6,59.7,1.08,1e-06,25,0.35,0.40,True,113.10000000000001,3,0.0005954628801257903,0.024402108108230944,3.0811679164958004,
81,100,3,31.1,70.8,70.8,1.2,1e-06,25,center,center,True,116.5,3,0.01258356083621173,0.11217647184776196,2.817331382678557,
104,100,3,56.3,28.9,56.6,1.2,1e-05,25,0.60,0.45,True,69.2,3,0.011669214663780708,0.10802413926424366,4.796827268332608,
103,100,3,28.1,29.1,33.4,4.26,1e-05,25,0.45,0.55,True,59.0,3,0.017644150045495174,0.13283128413704046,1.7045788826453903,
91,100,3,28.6,74.6,73.5,4.56,1e-06,80,center,center,True,111.80000000000001,3,0.0019256647178150376,0.04388239644567098,4.810280216372988,
101,100,3,44.1,11.3,39.6,1.71,1e-05,25,center,center,True,68.9,3,0.016917139226523194,0.13006590339717475,7.171177408887249,
93,100,3,33.8,79.0,79.4,3.8,1e-06,80,0.45,0.55,True,113.0,3,0.0037646760790114994,0.061356956239789956,1.9374924985713782,
95,100,3,18.0,60.3,56.8,3.96,1e-06,80,0.60,0.58,True,101.2,3,0.0019150181192254302,0.0437609199997604,0.23153572809003375,
106,100,3,21.6,45.8,44.1,3.55,1e-05,50,center,center,True,61.800000000000004,3,0.011704230707291992,0.10818609294771668,3.736256400733081,
100,100,3,15.2,41.5,37.9,4.07,1e-06,120,0.60,0.58,True,84.0,3,0.0007580595374837008,0.027532881024035623,0.9679865684393416,
102,100,3,54.1,37.3,58.8,2.34,1e-05,25,0.35,0.40,True,85.30000000000001,3,0.03274180859179614,0.18094697729389164,1.298155627355731,
116,100,3,23.1,26.5,28.1,2.92,1e-05,120,center,center,True,42.2,3,0.005546397296030153,0.0744741384376493,2.4047950475559365,
96,100,3,58.7,66.1,81.3,4.84,1e-06,120,center,center,True,115.30000000000001,3,0.0066723489850720324,0.08168444763277788,0.1056496226830327,
112,100,3,14.1,40.9,37.0,1.97,1e-05,80,0.35,0.40,True,58.7,3,0.002690286404063056,0.05186797088823753,0.24020435380985136,
97,100,3,49.2,58.2,69.1,1.78,1e-06,120,0.35,0.40,True,111.60000000000001,3,0.0037197468370045632,0.06098972730718316,0.04659572781611887,
110,100,3,16.2,60.6,56.7,4.74,1e-05,50,0.60,0.58,True,81.0,3,0.005756622113399637,0.07587240679851692,0.6658469793109172,
113,100,3,53.8,26.3,53.3,2.62,1e-05,80,0.45,0.55,True,69.9,3,0.004205066072752463,0.06484648080468564,0.18323189239534626,
