run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
19,100,3,35.5,29.0,38.8,2.15,1e-08,120,0.60,0.45,True,0.2,3,0.0,0.0,4.745956449771051,
9,100,3,13.2,23.5,20.2,4.08,1e-08,50,0.60,0.45,True,0.2,3,2.3475150967953438e-05,0.004845116197569821,6.805887345746062,
16,100,3,20.7,38.4,36.9,1.45,1e-08,120,center,center,True,0.2,3,0.011146049154168235,0.10557485095498945,11.218113851182203,
17,100,3,39.2,9.4,34.5,3.07,1e-08,120,0.35,0.40,True,0.2,3,0.026633675748846872,0.16319827128020342,20.631098756315733,
94,100,3,37.6,11.0,33.1,3.19,1e-08,80,0.60,0.45,True,0.2,3,0.02390642886975073,0.15461703939007088,17.271583551762944,
98,100,3,44.3,22.9,43.2,3.0,1e-08,120,0.45,0.55,True,0.2,3,0.0,0.0,15.409525514357655,
7,100,3,59.1,26.3,58.2,1.56,1e-08,50,0.35,0.40,True,54.6,3,1.262177448353619e-29,3.552713678800501e-15,3.0548172143429255,
178,100,3,31.7,11.3,27.4,2.35,1e-08,120,0.45,0.55,True,0.2,3,0.02824420233902525,0.1680601152535165,12.817476497679227,
220,100,3,10.3,10.5,7.6,3.4,1e-06,120,0.60,0.58,True,0.2,3,0.00017816727427238097,0.01334793146043165,0.6144449464316988,
44,100,3,40.0,15.8,36.6,4.21,1e-06,25,0.60,0.45,True,62.6,3,0.002529240934372344,0.05029155927561149,9.508673064975122,
50,100,3,35.0,63.7,65.9,2.67,1e-06,50,0.60,0.58,True,72.60000000000001,3,0.004948019691723567,0.0703421615514022,0.39196233537301955,
43,100,3,47.2,47.2,59.7,3.73,1e-06,25,0.45,0.55,True,67.0,3,0.006506075111613732,0.08066024492656672,1.359578358669583,
241,100,3,45.4,27.7,46.3,1.99,1e-08,25,center,center,True,0.2,3,0.0,0.0,12.929068988569204,
253,100,3,17.7,24.6,23.3,3.3,1e-08,80,0.45,0.55,True,0.2,3,0.014125930058149865,0.1188525559596842,3.3912965315889627,
58,100,3,77.6,30.4,76.9,4.63,1e-06,120,0.45,0.55,True,82.60000000000001,3,0.0042500491076921144,0.06519240068974386,0.2915689630325571,
6,100,3,29.4,77.4,76.4,2.24,1e-08,50,center,center,True,105.4,3,1.5987581012479172e-28,1.264420065187166e-14,2.403112830541035,
2,100,3,15.4,79.2,74.9,1.1,1e-08,25,0.35,0.40,True,106.80000000000001,3,3.1554436208840472e-30,1.7763568394002505e-15,0.41092731531359494,
4,100,3,9.8,80.2,75.4,4.98,1e-08,25,0.60,0.45,True,107.4,3,4.2072581611787294e-30,2.0511601988091347e-15,1.4982712095887625,
189,100,3,10.4,33.0,28.5,1.2,1e-07,50,0.60,0.45,True,36.7,3,0.008669509699456112,0.09311020190857773,0.5923471529913463,
157,100,3,35.0,21.9,34.4,3.34,1e-05,120,0.35,0.40,True,58.400000000000006,3,0.025071615902685574,0.15834019042140116,0.5051733889403142,
115,100,3,31.2,36.2,40.7,2.77,1e-07,80,0.60,0.58,True,67.5,3,0.004200315835193483,0.06480984365969018,0.4293001686191431,
215,100,3,26.8,33.6,35.9,3.8,1e-06,80,0.60,0.58,True,52.6,3,0.005063667406871779,0.07115945058017087,1.693916091772323,
109,100,3,75.1,27.9,73.7,3.39,1e-07,50,0.60,0.45,True,90.7,3,0.01765663094249784,0.13287825609368087,2.0493883027089517,
14,100,3,55.7,80.3,90.8,2.04,1e-08,80,0.60,0.45,True,130.6,3,2.3560645702600887e-28,1.5349477418661813e-14,2.15624698298735,
239,100,3,10.2,36.3,31.7,4.95,1e-05,120,0.60,0.45,True,57.5,3,0.0005653657484675027,0.02377742098015474,4.352935962901311,
214,100,3,59.2,46.2,68.1,4.27,1e-06,80,0.60,0.45,True,73.7,3,0.0037862463042119742,0.061532481700415545,0.03739424475678052,
282,100,3,27.4,10.7,23.2,3.26,1e-06,25,0.35,0.40,True,43.1,3,0.029304462238675586,0.17118546152835407,1.5627782784063933,
248,100,3,75.9,11.2,71.2,4.24,1e-08,50,0.45,0.55,True,52.0,3,1.0097419586828951e-28,1.0048591735576161e-14,43.195640904486105,
120,100,3,69.2,66.7,89.1,3.2,1e-07,120,0.60,0.58,True,111.5,3,0.012131331361946537,0.11014232320932103,0.3480702849159401,
101,100,3,77.2,25.9,75.2,1.14,1e-07,25,center,center,True,112.10000000000001,3,0.03436447757062418,0.18537658312371652,1.8093417311112443,
74,100,3,21.7,19.9,22.4,4.59,1e-05,80,0.60,0.45,True,133.5,3,0.002043042629480061,0.045200029087159456,4.676031994722923,
