run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_depth_m,artva_noise_std,noise_detect_factor,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
20,100,3,39.5,15.0,1.0,1e-08,50.0,120,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
3,100,3,39.5,15.0,1.0,1e-08,50.0,25,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
1,100,3,39.5,15.0,1.0,1e-08,50.0,25,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
22,100,3,39.5,15.0,1.0,1e-08,100.0,25,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
10,100,3,39.5,15.0,1.0,1e-08,50.0,50,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
6,100,3,39.5,15.0,1.0,1e-08,50.0,50,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
19,100,3,39.5,15.0,1.0,1e-08,50.0,120,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
18,100,3,39.5,15.0,1.0,1e-08,50.0,120,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
33,100,3,39.5,15.0,1.0,1e-08,100.0,80,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
21,100,3,39.5,15.0,1.0,1e-08,100.0,25,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
35,100,3,39.5,15.0,1.0,1e-08,100.0,80,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
37,100,3,39.5,15.0,1.0,1e-08,100.0,120,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
34,100,3,39.5,15.0,1.0,1e-08,100.0,80,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
25,100,3,39.5,15.0,1.0,1e-08,100.0,25,0.60,0.58,True,0.2,3,5.995633793217613e-06,0.00244859833235621,30.27643721738239,
7,100,3,39.5,15.0,1.0,1e-08,50.0,50,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
38,100,3,39.5,15.0,1.0,1e-08,100.0,120,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
36,100,3,39.5,15.0,1.0,1e-08,100.0,120,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
17,100,3,39.5,15.0,1.0,1e-08,50.0,120,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
39,100,3,39.5,15.0,1.0,1e-08,100.0,120,0.60,0.45,True,0.2,3,5.839421427182257e-06,0.0024164894841861525,30.28198056788967,
11,100,3,39.5,15.0,1.0,1e-08,50.0,80,center,center,True,0.2,3,6.00358106662145e-06,0.0024502206159081777,30.276274223837685,
27,100,3,39.5,15.0,1.0,1e-08,100.0,50,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
28,100,3,39.5,15.0,1.0,1e-08,100.0,50,0.45,0.55,True,0.2,3,6.005524684446782e-06,0.002450617204796943,30.276234267666585,
12,100,3,39.5,15.0,1.0,1e-08,50.0,80,0.35,0.45,True,0.2,3,6.0055270853217635e-06,0.0024506176946479767,30.27623422152364,
