run_id,area_size_m,n_drones,victim_x_m,victim_y_m,victim_dist_m,victim_depth_m,artva_noise_std,acc_sim_ms2,comm_radius_m,workspace_frac_r,workspace_frac_c,found,time_found_s,n_drones_stopped,pos_variance_m2,pos_std_m,est_error_2d_m,note
6,200,3,31.9,30.3,36.9,4.16,1e-07,0.05,50,center,center,True,81.10000000000001,3,0.009240469368828394,0.09612736014698622,6.123648524450231,
4,200,3,50.2,78.4,86.2,2.78,1e-07,0.05,25,0.60,0.45,True,103.80000000000001,3,0.004217651443994207,0.06494344804515854,2.9003298153800423,
27,200,3,63.1,114.8,124.2,4.11,1e-07,0.2,50,0.35,0.40,True,120.7,3,0.005439591066567458,0.07375358341509555,0.9388896709143641,
19,200,3,45.9,77.6,83.3,3.02,1e-07,0.05,120,0.60,0.45,True,121.30000000000001,3,0.004800781007912487,0.06928766851260394,2.031181004600867,
20,200,3,107.2,122.6,155.8,1.37,1e-07,0.05,120,0.60,0.58,True,153.70000000000002,3,0.03865947106301466,0.19662011866290452,0.24557432518898736,
17,200,3,116.9,60.6,124.9,4.65,1e-07,0.05,120,0.35,0.40,True,155.0,3,0.02473812409395438,0.15728357858961112,1.0234599210961461,
11,200,3,67.1,149.6,157.4,2.37,1e-07,0.05,80,center,center,True,138.20000000000002,3,0.007979669991315753,0.08932899860244574,2.7080770261273006,
10,200,3,94.1,142.3,163.7,1.27,1e-07,0.05,50,0.60,0.58,True,143.9,3,0.005435608085715126,0.07372657652241237,1.0273474049884557,
12,200,3,164.6,147.0,213.6,3.88,1e-07,0.05,80,0.35,0.40,True,182.8,3,0.0016175593200669404,0.04021889257633706,8.889034336937526,
7,200,3,69.9,94.6,110.7,1.35,1e-07,0.05,50,0.35,0.40,True,161.3,3,0.0017046424405297725,0.04128731573413041,1.3915645575273417,
5,200,3,78.7,107.8,126.5,4.52,1e-07,0.05,25,0.60,0.58,True,160.3,3,0.0027976683997179954,0.05289299008108726,1.2984769715155977,
15,200,3,109.7,39.4,110.2,1.61,1e-07,0.05,80,0.60,0.58,True,195.70000000000002,3,0.0030024438559993678,0.0547945604599523,1.154158701933414,
3,200,3,146.7,160.2,210.2,1.45,1e-07,0.05,25,0.45,0.55,True,186.0,3,0.00612940725268083,0.07829053105376683,0.2571429080332852,
13,200,3,157.3,54.7,160.2,3.47,1e-07,0.05,80,0.45,0.55,True,231.20000000000002,3,0.0023734544249752916,0.048718111878184395,1.2924664447701815,
14,200,3,141.4,82.6,156.9,3.19,1e-07,0.05,80,0.60,0.45,True,237.3,3,0.0029224560318011185,0.05405974502160659,2.0313021456779774,
9,200,3,154.1,99.3,176.4,3.96,1e-07,0.05,50,0.60,0.45,True,238.20000000000002,3,0.0017574995109643217,0.04192254179989951,1.380570193913662,
8,200,3,167.4,22.0,163.3,1.76,1e-07,0.05,50,0.45,0.55,True,254.10000000000002,3,0.003385728983596278,0.05818701731139239,1.3177851049638578,
36,200,3,56.2,127.4,132.7,1.52,1e-07,0.2,120,center,center,True,112.10000000000001,3,0.0017992328971135401,0.042417365513590544,2.7297419261058953,
1,200,3,156.9,61.5,162.0,2.9,1e-07,0.05,25,center,center,True,250.8,3,0.0016588327011525506,0.04072876994401563,1.6832296429616078,
28,200,3,145.2,127.5,186.2,1.9,1e-07,0.2,50,0.45,0.55,True,321.5,3,0.002649100799222748,0.05146941615389423,0.9956001875782763,
43,200,3,87.1,155.7,171.6,1.54,1e-06,0.05,25,0.45,0.55,True,159.4,3,0.0018305057351405457,0.04278440995433437,1.084713810113952,
